prefecture_code,prefecture_name,household_id,family_type_id,family_type,num_member,abnormal_household,person_id,age,gender_id,gender,role_household_type_id,role_household_type,industry_type_id,industry_type,employment_type_id,employment_type,company_size_id,company_size,total_income
50,合成人口県,0,0,単独世帯,1,0,0,24,0,男性,0,単独世帯（男性）,,,,,,,
50,合成人口県,1,1,夫婦のみ世帯,2,0,1,80,0,男性,10,夫・男親,,,,,,,
50,合成人口県,1,1,夫婦のみ世帯,2,0,2,80,1,女性,11,妻・女親,,,,,,,
50,合成人口県,2,70,夫婦、子供と両親（夫の親）,6,0,3,45,0,男性,10,夫・男親,80,Ｈ 運輸業，郵便業,10,一般労働者,10,10～99人,334900
50,合成人口県,2,70,夫婦、子供と両親（夫の親）,6,0,4,42,1,女性,11,妻・女親,130,Ｍ 宿泊業，飲食サービス業,10,一般労働者,100,100～999人,277700
50,合成人口県,2,70,夫婦、子供と両親（夫の親）,6,0,5,15,1,女性,21,子供（女性）,,,,,,,
50,合成人口県,2,70,夫婦、子供と両親（夫の親）,6,0,6,8,1,女性,21,子供（女性）,,,,,,,
50,合成人口県,2,70,夫婦、子供と両親（夫の親）,6,0,7,81,0,男性,30,親（男性）,40,Ｄ 建設業,10,一般労働者,10,10～99人,340100
50,合成人口県,2,70,夫婦、子供と両親（夫の親）,6,0,8,78,1,女性,31,親（女性）,,,,,,,
50,合成人口県,3,0,単独世帯,1,0,9,71,0,男性,0,単独世帯（男性）,,,,,,,
50,合成人口県,4,0,単独世帯,1,0,10,54,0,男性,0,単独世帯（男性）,70,Ｇ 情報通信業,10,一般労働者,1000,1000人以上,694600
50,合成人口県,5,1,夫婦のみ世帯,2,0,11,53,0,男性,10,夫・男親,50,Ｅ 製造業,20,短時間労働者,10,10～99人,123400
50,合成人口県,5,1,夫婦のみ世帯,2,0,12,57,1,女性,11,妻・女親,50,Ｅ 製造業,20,短時間労働者,1000,1000人以上,135700
50,合成人口県,6,2,夫婦と子供世帯,4,0,13,34,0,男性,10,夫・男親,160,Ｐ 医療，福祉,10,一般労働者,1000,1000人以上,444100
50,合成人口県,6,2,夫婦と子供世帯,4,0,14,35,1,女性,11,妻・女親,180,Ｒ サービス業（他に分類されないもの）,10,一般労働者,10,10～99人,271000
50,合成人口県,6,2,夫婦と子供世帯,4,0,15,0,0,男性,20,子供（男性）,,,,,,,
50,合成人口県,6,2,夫婦と子供世帯,4,0,16,0,1,女性,21,子供（女性）,,,,,,,
50,合成人口県,7,0,単独世帯,1,0,17,67,1,女性,1,単独世帯（女性）,,,,,,,
50,合成人口県,8,2,夫婦と子供世帯,4,0,18,47,0,男性,10,夫・男親,90,Ｉ 卸売業，小売業,10,一般労働者,10,10～99人,387700
50,合成人口県,8,2,夫婦と子供世帯,4,0,19,44,1,女性,11,妻・女親,150,Ｏ 教育，学習支援業,20,短時間労働者,100,100～999人,108200
50,合成人口県,8,2,夫婦と子供世帯,4,0,20,1,1,女性,21,子供（女性）,,,,,,,
50,合成人口県,8,2,夫婦と子供世帯,4,0,21,13,0,男性,20,子供（男性）,,,,,,,
50,合成人口県,9,1,夫婦のみ世帯,2,0,22,67,0,男性,10,夫・男親,,,,,,,
50,合成人口県,9,1,夫婦のみ世帯,2,0,23,66,1,女性,11,妻・女親,,,,,,,
50,合成人口県,10,2,夫婦と子供世帯,3,0,24,66,0,男性,10,夫・男親,190,Ｓ 公務（他に分類されるものを除く）,,,,,0
50,合成人口県,10,2,夫婦と子供世帯,3,0,25,64,1,女性,11,妻・女親,150,Ｏ 教育，学習支援業,20,短時間労働者,1000,1000人以上,81500
50,合成人口県,10,2,夫婦と子供世帯,3,0,26,36,0,男性,20,子供（男性）,,,,,,,
50,合成人口県,11,0,単独世帯,1,0,27,29,0,男性,0,単独世帯（男性）,,,,,,,
50,合成人口県,12,2,夫婦と子供世帯,5,0,28,26,0,男性,10,夫・男親,160,Ｐ 医療，福祉,10,一般労働者,1000,1000人以上,277200
50,合成人口県,12,2,夫婦と子供世帯,5,0,29,40,1,女性,11,妻・女親,,,,,,,
50,合成人口県,12,2,夫婦と子供世帯,5,0,30,6,0,男性,20,子供（男性）,,,,,,,
50,合成人口県,12,2,夫婦と子供世帯,5,0,31,4,0,男性,20,子供（男性）,,,,,,,
50,合成人口県,12,2,夫婦と子供世帯,5,0,32,6,0,男性,20,子供（男性）,,,,,,,
50,合成人口県,13,1,夫婦のみ世帯,2,0,33,93,0,男性,10,夫・男親,90,Ｉ 卸売業，小売業,10,一般労働者,5,5～9人,90100
50,合成人口県,13,1,夫婦のみ世帯,2,0,34,90,1,女性,11,妻・女親,,,,,,,
50,合成人口県,14,0,単独世帯,1,0,35,35,0,男性,0,単独世帯（男性）,190,Ｓ 公務（他に分類されるものを除く）,,,,,0
50,合成人口県,15,0,単独世帯,1,0,36,47,1,女性,1,単独世帯（女性）,,,,,,,
50,合成人口県,16,2,夫婦と子供世帯,3,0,37,43,0,男性,10,夫・男親,200,Ｔ 分類不能の産業,,,,,0
50,合成人口県,16,2,夫婦と子供世帯,3,0,38,38,1,女性,11,妻・女親,160,Ｐ 医療，福祉,20,短時間労働者,1000,1000人以上,129200
50,合成人口県,16,2,夫婦と子供世帯,3,0,39,6,0,男性,20,子供（男性）,,,,,,,
50,合成人口県,17,2,夫婦と子供世帯,5,0,40,41,0,男性,10,夫・男親,120,Ｌ 学術研究，専門・技術サービス業,10,一般労働者,1000,1000人以上,462800
50,合成人口県,17,2,夫婦と子供世帯,5,0,41,39,1,女性,11,妻・女親,160,Ｐ 医療，福祉,20,短時間労働者,10,10～99人,132600
50,合成人口県,17,2,夫婦と子供世帯,5,0,42,4,1,女性,21,子供（女性）,,,,,,,
50,合成人口県,17,2,夫婦と子供世帯,5,0,43,9,0,男性,20,子供（男性）,,,,,,,
50,合成人口県,17,2,夫婦と子供世帯,5,0,44,0,1,女性,21,子供（女性）,,,,,,,
50,合成人口県,18,2,夫婦と子供世帯,4,0,45,33,0,男性,10,夫・男親,120,Ｌ 学術研究，専門・技術サービス業,10,一般労働者,1000,1000人以上,472500
50,合成人口県,18,2,夫婦と子供世帯,4,0,46,35,1,女性,11,妻・女親,140,Ｎ 生活関連サービス業，娯楽業,10,一般労働者,100,100～999人,319200
50,合成人口県,18,2,夫婦と子供世帯,4,0,47,4,0,男性,20,子供（男性）,,,,,,,
50,合成人口県,18,2,夫婦と子供世帯,4,0,48,1,1,女性,21,子供（女性）,,,,,,,
50,合成人口県,19,1,夫婦のみ世帯,2,0,49,72,0,男性,10,夫・男親,,,,,,,
50,合成人口県,19,1,夫婦のみ世帯,2,0,50,72,1,女性,11,妻・女親,,,,,,,
50,合成人口県,20,2,夫婦と子供世帯,5,0,51,31,0,男性,10,夫・男親,120,Ｌ 学術研究，専門・技術サービス業,10,一般労働者,100,100～999人,330300
50,合成人口県,20,2,夫婦と子供世帯,5,0,52,28,1,女性,11,妻・女親,,,,,,,
50,合成人口県,20,2,夫婦と子供世帯,5,0,53,3,1,女性,21,子供（女性）,,,,,,,
50,合成人口県,20,2,夫婦と子供世帯,5,0,54,2,1,女性,21,子供（女性）,,,,,,,
50,合成人口県,20,2,夫婦と子供世帯,5,0,55,0,0,男性,20,子供（男性）,,,,,,,
50,合成人口県,21,1,夫婦のみ世帯,2,0,56,57,0,男性,10,夫・男親,190,Ｓ 公務（他に分類されるものを除く）,,,,,0
50,合成人口県,21,1,夫婦のみ世帯,2,0,57,43,1,女性,11,妻・女親,70,Ｇ 情報通信業,20,短時間労働者,100,100～999人,156900
50,合成人口県,22,4,女親と子供,2,0,58,95,1,女性,11,妻・女親,,,,,,,
50,合成人口県,22,4,女親と子供,2,0,59,59,0,男性,20,子供（男性）,130,Ｍ 宿泊業，飲食サービス業,10,一般労働者,1000,1000人以上,516200
50,合成人口県,23,0,単独世帯,1,0,60,32,1,女性,1,単独世帯（女性）,200,Ｔ 分類不能の産業,,,,,0
50,合成人口県,24,1,夫婦のみ世帯,2,0,61,58,0,男性,10,夫・男親,160,Ｐ 医療，福祉,10,一般労働者,1000,1000人以上,663700
50,合成人口県,24,1,夫婦のみ世帯,2,0,62,57,1,女性,11,妻・女親,130,Ｍ 宿泊業，飲食サービス業,10,一般労働者,10,10～99人,245100
50,合成人口県,25,0,単独世帯,1,0,63,66,1,女性,1,単独世帯（女性）,,,,,,,
50,合成人口県,26,3,男親と子供,2,0,64,83,0,男性,10,夫・男親,,,,,,,
50,合成人口県,26,3,男親と子供,2,0,65,56,0,男性,20,子供（男性）,50,Ｅ 製造業,10,一般労働者,100,100～999人,508900
50,合成人口県,27,2,夫婦と子供世帯,3,0,66,51,0,男性,10,夫・男親,90,Ｉ 卸売業，小売業,10,一般労働者,10,10～99人,529400
50,合成人口県,27,2,夫婦と子供世帯,3,0,67,51,1,女性,11,妻・女親,90,Ｉ 卸売業，小売業,20,短時間労働者,100,100～999人,82800
50,合成人口県,27,2,夫婦と子供世帯,3,0,68,14,1,女性,21,子供（女性）,,,,,,,
50,合成人口県,28,2,夫婦と子供世帯,5,0,69,44,0,男性,10,夫・男親,90,Ｉ 卸売業，小売業,10,一般労働者,100,100～999人,555100
50,合成人口県,28,2,夫婦と子供世帯,5,0,70,45,1,女性,11,妻・女親,150,Ｏ 教育，学習支援業,20,短時間労働者,5,5～9人,76200
50,合成人口県,28,2,夫婦と子供世帯,5,0,71,12,1,女性,21,子供（女性）,,,,,,,
50,合成人口県,28,2,夫婦と子供世帯,5,0,72,13,0,男性,20,子供（男性）,,,,,,,
50,合成人口県,28,2,夫婦と子供世帯,5,0,73,8,1,女性,21,子供（女性）,,,,,,,
50,合成人口県,29,0,単独世帯,1,0,74,44,1,女性,1,単独世帯（女性）,,,,,,,
50,合成人口県,30,1,夫婦のみ世帯,2,0,75,59,0,男性,10,夫・男親,120,Ｌ 学術研究，専門・技術サービス業,10,一般労働者,1000,1000人以上,711400
