question_id,full_question_text,option_1,option_2,option_3,option_4,option_5
Q2-ア,世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 チャンスが平等にあたえられるなら、競争で貧富の差がついてもしかたがない,そう思う,どちらかといえばそう思う,どちらともいえない,どちらかといえばそう思わない,そう思わない
Q2-イ,世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 競争の自由をまもるよりも、格差をなくしていくことの方が大切だ,そう思う,どちらかといえばそう思う,どちらともいえない,どちらかといえばそう思わない,そう思わない
Q2-ウ,世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 今後、日本で格差が広がってもかまわない,そう思う,どちらかといえばそう思う,どちらともいえない,どちらかといえばそう思わない,そう思わない
Q2-エ,世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 権威のある人々にはつねに敬意をはらわなければならない,そう思う,どちらかといえばそう思う,どちらともいえない,どちらかといえばそう思わない,そう思わない
Q2-オ,世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 以前からなされてきたやり方を守ることが、最上の結果を生む,そう思う,どちらかといえばそう思う,どちらともいえない,どちらかといえばそう思わない,そう思わない
Q2-カ,世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 この複雑な世の中で何をなすべきか知るいちばんよい方法は、指導者や専門家にたよることである,そう思う,どちらかといえばそう思う,どちらともいえない,どちらかといえばそう思わない,そう思わない
Q2-キ,世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 違った考えかたをもった人がたくさんいる方が社会にとって望ましい,そう思う,どちらかといえばそう思う,どちらともいえない,どちらかといえばそう思わない,そう思わない
Q2-ク,世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 富む者と貧しい者とのあいだの所得の格差を小さくすべきだ,そう思う,どちらかといえばそう思う,どちらともいえない,どちらかといえばそう思わない,そう思わない
Q2-ケ,世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 同性どうしが、愛しあってもよい,そう思う,どちらかといえばそう思う,どちらともいえない,どちらかといえばそう思わない,そう思わない
Q2-コ,世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 結婚しても、必ずしも子どもを持つ必要はない,そう思う,どちらかといえばそう思う,どちらともいえない,どちらかといえばそう思わない,そう思わない
Q3-ア,男女の役割について、ア)~ウ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにもっとも近い番号をひとつ選び、○をつけてください。 男性は外で働き、女性は家庭を守るべきである,そう思う,どちらかといえばそう思う,どちらかといえばそう思わない,そう思わない,
Q3-イ,男女の役割について、ア)~ウ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにもっとも近い番号をひとつ選び、○をつけてください。 男の子と女の子は違った育て方をすべきである,そう思う,どちらかといえばそう思う,どちらかといえばそう思わない,そう思わない,
Q3-ウ,男女の役割について、ア)~ウ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにもっとも近い番号をひとつ選び、○をつけてください。 家事や育児には、男性よりも女性がむいている,そう思う,どちらかといえばそう思う,どちらかといえばそう思わない,そう思わない,
Q4-ア,子どもについて、ア)~エ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにいちばん近い番号をひとつ選び、○をつけてください。お子さんのいない方もお答えください。 子どもにはできるだけ高い教育を受けさせるのがよい,そう思う,どちらかといえばそう思う,どちらかといえばそう思わない,そう思わない,
Q4-イ,子どもについて、ア)~エ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにいちばん近い番号をひとつ選び、○をつけてください。お子さんのいない方もお答えください。 子どもには、学校教育のほかに家庭教師をつけたり、塾に通わせた方がよい,そう思う,どちらかといえばそう思う,どちらかといえばそう思わない,そう思わない,
Q4-ウ,子どもについて、ア)~エ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにいちばん近い番号をひとつ選び、○をつけてください。お子さんのいない方もお答えください。 子どもにはできるだけ多くの財産を残してやるのがよい,そう思う,どちらかといえばそう思う,どちらかといえばそう思わない,そう思わない,
