question_id,full_question_text,choice_1_count,choice_2_count,choice_3_count,choice_4_count,choice_5_count
Q2-ア,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 チャンスが平等にあたえられるなら、競争で貧富の差がついてもしかたがない",1,23,13,38,25
Q2-イ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 競争の自由をまもるよりも、格差をなくしていくことの方が大切だ",21,59,11,6,2
Q2-ウ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 今後、日本で格差が広がってもかまわない",0,8,21,27,43
Q2-エ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 権威のある人々にはつねに敬意をはらわなければならない",29,40,10,14,6
Q2-オ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 以前からなされてきたやり方を守ることが、最上の結果を生む",26,34,14,15,11
Q2-カ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 この複雑な世の中で何をなすべきか知るいちばんよい方法は、指導者や専門家にたよることである",22,48,12,17,1
Q2-キ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 違った考えかたをもった人がたくさんいる方が社会にとって望ましい",65,23,4,6,1
Q2-ク,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 富む者と貧しい者とのあいだの所得の格差を小さくすべきだ",45,39,8,6,1
Q2-ケ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 同性どうしが、愛しあってもよい",39,21,17,13,10
Q2-コ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 結婚しても、必ずしも子どもを持つ必要はない",22,37,18,12,11
Q3-ア,"男女の役割について、ア)~ウ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにもっとも近い番号をひとつ選び、○をつけてください。 男性は外で働き、女性は家庭を守るべきである",23,22,28,27,
Q3-イ,"男女の役割について、ア)~ウ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにもっとも近い番号をひとつ選び、○をつけてください。 男の子と女の子は違った育て方をすべきである",30,29,29,12,
Q3-ウ,"男女の役割について、ア)~ウ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにもっとも近い番号をひとつ選び、○をつけてください。 家事や育児には、男性よりも女性がむいている",40,27,28,4,
Q4-ア,"子どもについて、ア)~エ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにいちばん近い番号をひとつ選び、○をつけてください。お子さんのいない方もお答えください。 子どもにはできるだけ高い教育を受けさせるのがよい",53,37,10,0,
Q4-イ,"子どもについて、ア)~エ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにいちばん近い番号をひとつ選び、○をつけてください。お子さんのいない方もお答えください。 子どもには、学校教育のほかに家庭教師をつけたり、塾に通わせた方がよい",43,42,10,5,
Q4-ウ,"子どもについて、ア)~エ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにいちばん近い番号をひとつ選び、○をつけてください。お子さんのいない方もお答えください。 子どもにはできるだけ多くの財産を残してやるのがよい",27,37,26,10,
Q4-エ,"子どもについて、ア)~エ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにいちばん近い番号をひとつ選び、○をつけてください。お子さんのいない方もお答えください。 やりたいことがないのに、大学に進学するべきではない",15,21,38,26,
Q5-ア,"あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 性別による不公平",12,70,17,1,
Q5-イ,"あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 世代による不公平",16,68,14,2,
Q5-ウ,"あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 学歴による不公平",20,66,11,3,
Q5-エ,"あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 正規/非正規雇用による不公平",29,55,11,5,
Q5-オ,"あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 人種・民族・国籍による不公平",10,62,25,3,
Q5-カ,"あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 地域による不公平",30,55,15,0,
