person_id,dq2_1,dq2_2,dq2_3,dq2_4,dq2_5,dq2_6,dq2_7,dq2_8,dq2_9,dq2_10,dq3_1,dq3_2,dq3_3,dq4_1,dq4_2,dq4_3,dq4_4,dq5_1,dq5_2,dq5_3,dq5_4,dq5_5,dq5_6,dq6_1,dq6_2,dq6_3,dq7_1,dq7_2,dq7_3,dq7_4,dq8_1,dq8_2,dq8_3,dq8_4,dq8_5,dq9_1,dq9_2,dq9_3,dq9_4,dq10_1,dq10_2,dq16,dq22_1,dq22_2,dq22_3,dq22_4,dq22_5,dq22_6,dq23_1,dq23_2,dq23_3,dq23_4
0,1,2,1,1,4,5,1,1,2,5,4,4,4,4,4,4,1,2,1,2,1,3,2,5,2,1,3,4,4,3,5,5,5,5,5,5,2,5,1,3,3,3,5,3,5,5,5,3,1,3,2,2
1,1,1,5,1,1,5,1,1,4,1,4,4,2,4,1,4,4,,2,3,2,4,2,1,2,1,3,2,4,4,5,5,5,5,3,2,5,5,5,1,3,1,4,4,5,4,4,5,1,3,1,3
2,1,1,5,1,5,3,1,1,5,1,4,1,1,1,4,1,1,1,1,3,2,2,1,1,1,1,3,4,3,2,1,5,5,5,1,3,5,5,1,1,1,2,3,4,1,5,5,5,1,3,3,4
3,1,1,4,1,4,2,1,1,5,5,4,4,1,1,1,1,1,3,3,3,1,2,3,1,1,1,1,1,3,1,1,5,3,3,1,5,3,2,5,1,1,2,3,3,5,3,2,5,1,1,3,3
4,1,1,1,3,4,5,1,1,1,1,4,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,3,1,5,5,5,4,5,5,5,5,5,1,1,3,5,3,3,5,3,5,1,1,4,3
5,1,2,5,5,4,5,1,5,3,1,4,4,3,1,4,4,4,1,1,1,2,2,1,5,1,5,4,4,3,4,5,5,4,5,4,5,5,2,5,1,4,1,4,5,3,4,4,3,3,3,4,3
6,1,3,5,1,4,3,1,2,1,1,4,4,1,1,4,4,4,1,1,1,3,3,1,1,1,1,4,4,3,3,5,5,5,3,5,5,5,5,5,1,4,2,5,4,5,5,3,5,1,3,4,4
7,1,1,5,1,1,1,1,2,5,1,4,1,1,1,1,1,1,3,1,3,1,3,1,3,1,1,3,3,2,3,5,4,5,3,3,5,3,3,1,1,1,3,3,4,5,5,4,3,1,3,1,3
8,1,1,1,1,4,5,1,1,1,1,1,4,1,1,1,1,1,2,2,2,1,3,1,1,1,1,4,4,3,3,1,5,4,5,3,2,5,5,3,3,3,1,3,4,5,4,5,3,1,3,3,3
9,1,1,5,2,5,5,1,1,1,5,4,4,1,4,3,4,1,3,1,3,1,4,1,1,1,1,3,4,3,2,5,5,1,3,4,3,3,1,3,3,3,2,5,4,5,4,5,5,1,1,1,3
10,4,1,5,5,5,1,1,1,1,5,4,4,4,1,1,4,1,1,1,1,1,1,3,4,5,1,1,1,1,1,5,1,4,3,5,2,1,5,1,1,3,3,5,4,3,5,3,5,1,1,1,1
11,1,1,4,3,1,3,1,1,5,4,3,4,1,3,1,1,1,4,1,3,1,3,1,1,5,1,3,3,4,3,5,5,5,3,3,5,5,3,2,1,3,2,5,3,5,5,3,5,1,1,3,2
12,1,1,1,1,5,5,1,4,5,1,4,4,1,1,2,1,4,3,2,3,1,3,2,1,1,1,1,1,3,3,3,5,5,4,4,5,1,3,2,3,3,2,4,5,4,5,4,5,1,1,4,3
13,1,1,5,1,1,5,1,1,1,4,4,4,3,1,4,4,1,3,1,3,2,1,1,1,3,1,1,3,1,1,1,3,3,5,5,1,3,3,3,1,1,2,4,5,3,5,3,4,1,1,4,4
14,1,2,5,5,5,2,1,1,1,1,4,4,1,2,1,1,2,1,1,2,3,4,1,1,5,1,1,1,2,1,1,5,3,3,5,3,2,3,5,2,1,2,3,5,5,1,3,4,1,1,3,3
15,5,1,5,5,1,1,3,1,5,5,4,4,1,1,4,4,4,3,3,3,2,4,2,5,5,1,4,4,4,4,5,5,5,5,5,5,5,5,5,3,3,3,3,5,3,1,5,5,4,2,3,3
16,5,1,5,5,1,1,3,3,5,5,4,3,2,1,1,4,4,4,3,3,4,2,4,5,3,1,4,2,4,4,5,5,4,5,5,5,5,5,5,1,4,2,3,5,5,3,5,1,3,4,3,4
17,1,1,5,5,4,5,1,5,5,1,4,4,1,1,4,1,4,1,2,3,2,3,1,1,1,3,3,4,4,3,1,5,3,4,5,5,4,5,5,3,3,1,5,4,3,5,5,3,3,3,3,4
