question_id,full_question_text,choice_1_count,choice_2_count,choice_3_count,choice_4_count,choice_5_count
Q2-ア,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 チャンスが平等にあたえられるなら、競争で貧富の差がついてもしかたがない",13,70,13,1,3
Q2-イ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 競争の自由をまもるよりも、格差をなくしていくことの方が大切だ",1,37,34,19,9
Q2-ウ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 今後、日本で格差が広がってもかまわない",4,21,28,16,31
Q2-エ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 権威のある人々にはつねに敬意をはらわなければならない",0,34,33,18,15
Q2-オ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 以前からなされてきたやり方を守ることが、最上の結果を生む",5,45,29,12,9
Q2-カ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 この複雑な世の中で何をなすべきか知るいちばんよい方法は、指導者や専門家にたよることである",2,32,33,12,21
Q2-キ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 違った考えかたをもった人がたくさんいる方が社会にとって望ましい",2,49,24,16,9
Q2-ク,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 富む者と貧しい者とのあいだの所得の格差を小さくすべきだ",5,37,32,12,14
Q2-ケ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 同性どうしが、愛しあってもよい",14,37,16,13,20
Q2-コ,"世の中のありかたについて次のような意見があります。あなたはどう思いますか。それぞれについて、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。 結婚しても、必ずしも子どもを持つ必要はない",6,48,21,11,14
Q3-ア,"男女の役割について、ア)~ウ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにもっとも近い番号をひとつ選び、○をつけてください。 男性は外で働き、女性は家庭を守るべきである",8,33,26,33,
Q3-イ,"男女の役割について、ア)~ウ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにもっとも近い番号をひとつ選び、○をつけてください。 男の子と女の子は違った育て方をすべきである",17,32,26,25,
Q3-ウ,"男女の役割について、ア)~ウ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにもっとも近い番号をひとつ選び、○をつけてください。 家事や育児には、男性よりも女性がむいている",18,60,21,1,
Q4-ア,"子どもについて、ア)~エ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにいちばん近い番号をひとつ選び、○をつけてください。お子さんのいない方もお答えください。 子どもにはできるだけ高い教育を受けさせるのがよい",29,58,13,0,
Q4-イ,"子どもについて、ア)~エ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにいちばん近い番号をひとつ選び、○をつけてください。お子さんのいない方もお答えください。 子どもには、学校教育のほかに家庭教師をつけたり、塾に通わせた方がよい",17,61,18,4,
Q4-ウ,"子どもについて、ア)~エ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにいちばん近い番号をひとつ選び、○をつけてください。お子さんのいない方もお答えください。 子どもにはできるだけ多くの財産を残してやるのがよい",30,52,10,8,
Q4-エ,"子どもについて、ア)~エ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにいちばん近い番号をひとつ選び、○をつけてください。お子さんのいない方もお答えください。 やりたいことがないのに、大学に進学するべきではない",27,60,13,0,
Q5-ア,"あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 性別による不公平",28,40,25,7,
Q5-イ,"あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 世代による不公平",40,47,13,0,
Q5-ウ,"あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 学歴による不公平",37,45,18,0,
Q5-エ,"あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 正規/非正規雇用による不公平",38,47,15,0,
